,movie_title,release_date,genre,MPAA_rating,director,year,month,day,animated,revenue
126,The Invisible,4/27/2007,Thriller/Suspense,PG-13,NO_DIRECTOR,2007,4,27,YES,"$25,202,168 "
127,Guilty as Sin,6/4/1993,Thriller/Suspense,R,Sidney Lumet,1993,6,4,NO,"$46,064,723 "
128,Operation Dumbo Drop,7/28/1995,Adventure,PG,Simon Wincer,1995,7,28,NO,"$47,809,421 "
129,Ghosts of the Abyss,4/11/2003,Documentary,G,James Cameron,2003,4,11,NO,"$23,803,108 "
130,Scenes from a Mall,2/22/1991,Comedy,R,Paul Mazursky,1991,2,22,NO,"$19,149,495 "
131,The BFG,7/1/2016,Adventure,PG,Steven Spielberg,2016,7,1,NO,"$55,483,770 "
132,Tron,7/9/1982,Action,UNKNOWN,NO_DIRECTOR,1982,7,9,NO,"$77,184,895 "
133,Firelight,9/4/1998,Drama,R,William Nicholson,1998,9,4,NO,"$1,409,943 "
134,Delivery Man,11/22/2013,Comedy,PG-13,Ken Scott,2013,11,22,YES,"$31,787,136 "
135,New York Stories,3/1/1989,Drama,PG,Francis Ford Coppola,1989,3,1,NO,"$22,740,861 "
136,Disorganized Crime,4/14/1989,Comedy,R,Jim Kouf,1989,4,14,NO,"$15,233,465 "
137,Tom and Huck,12/22/1995,Adventure,PG,Peter Hewitt,1995,12,22,NO,"$45,911,517 "
138,Keeping the Faith,4/14/2000,Romantic Comedy,PG-13,Edward Norton,2000,4,14,NO,"$57,925,202 "
139,Grosse Pointe Blank,4/11/1997,Black Comedy,R,George Armitage,1997,4,11,YES,"$51,579,764 "
140,Indian Summer,4/23/1993,Comedy,R,NO_DIRECTOR,1993,4,23,YES,"$29,968,953 "
141,The Princess and the Frog,11/25/2009,Adventure,G,Ron Clements,2009,11,25,NO,"$116,316,457 "
142,Billy Bathgate,11/1/1991,Drama,R,Robert Benton,1991,11,1,NO,"$31,167,691 "
143,3 Ninjas Kick Back,5/6/1994,Action,PG,Charles T. Kanganis,1994,5,6,NO,"$24,267,154 "
144,My Boyfriend's Back,8/6/1993,Comedy,PG-13,Bob Balaban,1993,8,6,NO,"$6,554,384 "
145,Goal! The Dream Begins,5/12/2006,Drama,PG,Danny Cannon,2006,5,12,YES,"$5,512,647 "
146,Country,9/29/1984,Drama,UNKNOWN,NO_DIRECTOR,1984,9,29,YES,"$21,075,000 "
147,Big Trouble,4/5/2002,Comedy,PG-13,NO_DIRECTOR,2002,4,5,NO,"$10,537,188 "
148,People Like Us,6/29/2012,Drama,PG-13,Alex Kurtzman,2012,6,29,NO,"$13,165,822 "
149,Mars Needs Moms,3/11/2011,Adventure,PG,Simon Wells,2011,3,11,NO,"$22,741,603 "
150,Angie,3/4/1994,Comedy,R,NO_DIRECTOR,1994,3,4,NO,"$19,116,981 "
151,Deuce Bigalow: Male Gigolo,12/10/1999,Comedy,R,Mike Mitchell,1999,12,10,NO,"$106,921,374 "
152,Veronica Guerin,10/17/2003,Drama,R,Joel Schumacher,2003,10,17,YES,"$2,194,759 "
153,Max Keeble's Big Move,10/5/2001,Comedy,PG,Tim Hill,2001,10,5,YES,"$25,749,730 "
154,The Scarlet Letter,10/13/1995,Drama,R,Roland Joffé,1995,10,13,NO,"$20,075,033 "
155,D3: The Mighty Ducks,10/4/1996,Comedy,PG,Rob Lieberman,1996,10,4,NO,"$43,713,554 "
156,Up,5/29/2009,Adventure,PG,NO_DIRECTOR,2009,5,29,NO,"$329,336,681 "
157,Alive,1/15/1993,Adventure,R,NO_DIRECTOR,1993,1,15,NO,"$73,914,543 "
158,Can't Buy Me Love,8/14/1987,Romantic Comedy,PG-13,Steve Rash,1987,8,14,NO,"$68,181,300 "
159,The Hoax,4/6/2007,Drama,R,Lasse Hallström,2007,4,6,NO,"$8,779,196 "
160,Fantasia,11/13/2040,Musical,G,David Hand,1940,11,13,NO,"$2,187,090,808.00 "
161,Crimson Tide,5/12/1995,Action,R,Tony Scott,1995,5,12,NO,"$177,102,077 "
162,Ransom,11/8/1996,Action,R,Ron Howard,1996,11,8,NO,"$259,807,820 "
163,Pretty Woman,3/23/1990,Romantic Comedy,R,Garry Marshall,1990,3,23,YES,"$356,389,765 "
164,Inspector Gadget,7/23/1999,Comedy,PG,David Kellogg,1999,7,23,NO,"$161,610,341 "
165,Winnie the Pooh,7/15/2011,Adventure,G,Stephen J. Anderson,2011,7,15,NO,"$28,375,869 "
166,The Tigger Movie,2/11/2000,Adventure,G,Jun Falkenstein,2000,2,11,YES,"$71,228,678 "
167,Heavy Weights,2/17/1995,Comedy,PG,Steven Brill,1995,2,17,NO,"$34,245,779 "
168,What About Bob?,5/17/1991,Comedy,PG,NO_DIRECTOR,1991,5,17,NO,"$127,571,325 "
169,Condorman,8/7/1981,Action,G,Charles Jarrott,1981,8,7,YES,$0 
170,The Haunted Mansion,11/26/2003,Comedy,PG,Rob Minkoff,2003,11,26,NO,"$105,775,678 "
