movie_title,release_date,genre,MPAA_rating,directors,revenue
Tom and Huck,22-Dec-95,Adventure,PG,Peter Hewitt,"$45,911,517 "
Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,Edward Norton,"$57,925,202 "
Grosse Pointe Blank,11-Apr-97,Black Comedy,R,George Armitage,"$51,579,764 "
Indian Summer,23-Apr-93,Comedy,R,Mike Binder,"$29,968,953 "
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,"$116,316,457 "
Billy Bathgate,1-Nov-91,Drama,R,Robert Benton,"$31,167,691 "
3 Ninjas Kick Back,6-May-94,Action,PG,Charles T. Kanganis,"$24,267,154 "
My Boyfriend's Back,6-Aug-93,Comedy,PG-13,Bob Balaban,"$6,554,384 "
Goal! The Dream Begins,12-May-06,Drama,PG,Danny Cannon,"$5,512,647 "
Country,29-Sep-84,Drama,PG-13,Francis Lee,"$21,075,000 "
Big Trouble,5-Apr-02,Comedy,PG-13,Barry Sonnenfeld,"$10,537,188 "
People Like Us,29-Jun-12,Drama,PG-13,Alex Kurtzman,"$13,165,822 "
Mars Needs Moms,11-Mar-11,Adventure,PG,Simon Wells,"$22,741,603 "
Angie,4-Mar-94,Comedy,R,Martha Coolidge,"$19,116,981 "
Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,Mike Mitchell,"$106,921,374 "
Veronica Guerin,17-Oct-03,Drama,R,Joel Schumacher,"$2,194,759 "
Max Keeble's Big Move,5-Oct-01,Comedy,PG,Tim Hill,"$25,749,730 "
The Scarlet Letter,13-Oct-95,Drama,R,Roland Joffé,"$20,075,033 "
D3: The Mighty Ducks,4-Oct-96,Comedy,PG,Rob Lieberman,"$43,713,554 "
Up,29-May-09,Adventure,PG,Darrell Van Citters,"$329,336,681 "
Alive,15-Jan-93,Adventure,R,Santiago Menghini,"$73,914,543 "
Can't Buy Me Love,14-Aug-87,Romantic Comedy,PG-13,Steve Rash,"$68,181,300 "
The Hoax,6-Apr-07,Drama,R,Lasse Hallström,"$8,779,196 "
Fantasia,13-Nov-40,Musical,G,David Hand,"$2,187,090,808.00 "
Crimson Tide,12-May-95,Action,R,Tony Scott,"$177,102,077 "
Ransom,8-Nov-96,Action,R,Ron Howard,"$259,807,820 "
Pretty Woman,23-Mar-90,Romantic Comedy,R,Garry Marshall,"$356,389,765 "
Inspector Gadget,23-Jul-99,Comedy,PG,David Kellogg,"$161,610,341 "
Winnie the Pooh,15-Jul-11,Adventure,G,Stephen J. Anderson,"$28,375,869 "
The Tigger Movie,11-Feb-00,Adventure,G,Jun Falkenstein,"$71,228,678 "
Heavy Weights,17-Feb-95,Comedy,PG,Steven Brill,"$34,245,779 "
What About Bob?,17-May-91,Comedy,PG,Frank Oz,"$127,571,325 "
Condorman,7-Aug-81,Action,G,Charles Jarrott,$0 
The Haunted Mansion,26-Nov-03,Comedy,PG,Rob Minkoff,"$105,775,678 "
The Hitchhiker's Guide to the Galaxy,29-Apr-05,Comedy,PG,Garth Jennings,"$67,096,891 "
Bedknobs and Broomsticks,7-Oct-71,Musical,G,Robert Stevenson,"$91,305,448 "
Pooh's Heffalump Movie,11-Feb-05,Adventure,G,Frank Nissen,"$23,801,835 "
Open Range,15-Aug-03,Western,R,Kevin Costner,"$81,547,672 "
D.O.A.,18-Mar-88,Thriller/Suspense,PG-13,Annabel Jankel,"$26,062,188 "
Meet the Deedles,27-Mar-98,Comedy,PG,Steve Boyum,"$7,829,877 "
A Beautiful Planet,29-Apr-16,Documentary,G,Toni Myers,"$7,895,708 "
Sister Act,29-May-92,Comedy,PG,Emile Ardolino,"$283,583,472 "
Strange Magic,23-Jan-15,Adventure,PG,Gary Rydstrom,"$12,429,583 "
The Many Adventures of Winnie the Pooh,11-Mar-77,Animation,G,Wolfgang Reitherman,$0 
Quiz Show,14-Sep-94,Drama,PG-13,Robert Redford,"$50,840,394 "
While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,Jon Turteltaub,"$157,082,900 "
Bedtime Stories,25-Dec-08,Comedy,PG,Adam Shankman,"$128,039,679 "
